25.08 05:48:48  | V |     public abstract com.android.internal.telephony.IccSmsInterfaceManager com.android.internal.telephony.Phone.getIccSmsInterfaceManager()
25.08 05:48:48  | V |     public abstract java.lang.String com.android.internal.telephony.Phone.getInterfaceName(java.lang.String)
25.08 05:48:49  | V |     public abstract java.lang.String com.android.internal.telephony.Phone.getIpAddress(java.lang.String)
25.08 05:48:49  | V |     public abstract java.lang.String com.android.internal.telephony.Phone.getLine1AlphaTag()
25.08 05:48:49  | V |     public abstract java.lang.String com.android.internal.telephony.Phone.getLine1Number()
25.08 05:48:49  | V |     public abstract void com.android.internal.telephony.Phone.getLineId(android.os.Message)
25.08 05:48:49  | V |     public abstract java.lang.String com.android.internal.telephony.Phone.getMeid()
25.08 05:48:49  | V |     public abstract boolean com.android.internal.telephony.Phone.getMessageWaitingIndicator()
25.08 05:48:49  | V |     public abstract boolean com.android.internal.telephony.Phone.getMsisdnavailable()
25.08 05:48:49  | V |     public abstract boolean com.android.internal.telephony.Phone.getMute()
25.08 05:48:49  | V |     public abstract void com.android.internal.telephony.Phone.getNeighboringCids(android.os.Message)
25.08 05:48:49  | V |     public abstract void com.android.internal.telephony.Phone.getOutgoingCallerIdDisplay(android.os.Message)
25.08 05:48:49  | V |     public abstract java.util.List<? extends com.android.internal.telephony.MmiCode> com.android.internal.telephony.Phone.getPendingMmiCodes()
25.08 05:48:49  | V |     public abstract java.lang.String com.android.internal.telephony.Phone.getPhoneName()
25.08 05:48:49  | V |     public abstract com.android.internal.telephony.PhoneSubInfo com.android.internal.telephony.Phone.getPhoneSubInfo()
25.08 05:48:49  | V |     public abstract int com.android.internal.telephony.Phone.getPhoneType()
25.08 05:48:49  | V |     public abstract void com.android.internal.telephony.Phone.getPreferredNetworkType(android.os.Message)
25.08 05:48:49  | V |     public abstract com.android.internal.telephony.Call com.android.internal.telephony.Phone.getRingingCall()
25.08 05:48:49  | V |     public abstract boolean com.android.internal.telephony.Phone.getSMSPavailable()
25.08 05:48:49  | V |     public abstract boolean com.android.internal.telephony.Phone.getSMSavailable()
25.08 05:48:49  | V |     public abstract android.telephony.ServiceState com.android.internal.telephony.Phone.getServiceState()
25.08 05:48:49  | V |     public abstract android.telephony.SignalStrength com.android.internal.telephony.Phone.getSignalStrength()
25.08 05:48:49  | V |     public abstract com.android.internal.telephony.test.SimulatedRadioControl com.android.internal.telephony.Phone.getSimulatedRadioControl()
25.08 05:48:49  | V |     public abstract void com.android.internal.telephony.Phone.getSmscAddress(android.os.Message)
25.08 05:48:49  | V |     public abstract com.android.internal.telephony.Phone$State com.android.internal.telephony.Phone.getState()
25.08 05:48:49  | V |     public abstract java.lang.String com.android.internal.telephony.Phone.getSubscriberId()
25.08 05:48:49  | V |     public abstract boolean com.android.internal.telephony.Phone.getUnitTestMode()
25.08 05:48:49  | V |     public abstract java.lang.String com.android.internal.telephony.Phone.getVoiceMailAlphaTag()
25.08 05:48:49  | V |     public abstract java.lang.String com.android.internal.telephony.Phone.getVoiceMailNumber()
25.08 05:48:49  | V |     public abstract int com.android.internal.telephony.Phone.getVoiceMessageCount()
25.08 05:48:49  | V |     public abstract boolean com.android.internal.telephony.Phone.handleInCallMmiCommands(java.lang.String) throws com.android.internal.telephony.CallStateException
25.08 05:48:49  | V |     public abstract boolean com.android.internal.telephony.Phone.handlePinMmi(java.lang.String)
25.08 05:48:49  | V |     public abstract void com.android.internal.telephony.Phone.initiateFakecall()
25.08 05:48:49  | V |     public abstract void com.android.internal.telephony.Phone.invokeOemRilRequestRaw(byte[],android.os.Message)
25.08 05:48:49  | V |     public abstract void com.android.internal.telephony.Phone.invokeOemRilRequestStrings(java.lang.String[],android.os.Message)
25.08 05:48:49  | V |     public abstract boolean com.android.internal.telephony.Phone.isDataConnectivityEnabled()
25.08 05:48:49  | V |     public abstract boolean com.android.internal.telephony.Phone.isDataConnectivityPossible()
25.08 05:48:49  | V |     public abstract boolean com.android.internal.telephony.Phone.isDnsCheckDisabled()
25.08 05:48:49  | V |     public abstract boolean com.android.internal.telephony.Phone.isMinInfoReady()
25.08 05:48:49  | V |     public abstract boolean com.android.internal.telephony.Phone.isOtaSpNumber(java.lang.String)
25.08 05:48:49  | V |     public abstract void com.android.internal.telephony.Phone.notifyDataActivity()
25.08 05:48:49  | V |     public abstract void com.android.internal.telephony.Phone.queryAvailableBandMode(android.os.Message)
25.08 05:48:49  | V |     public abstract void com.android.internal.telephony.Phone.queryCdmaRoamingPreference(android.os.Message)
25.08 05:48:49  | V |     public abstract void com.android.internal.telephony.Phone.queryTTYMode(android.os.Message)
25.08 05:48:49  | V |     public abstract void com.android.internal.telephony.Phone.registerFoT53ClirlInfo(android.os.Handler,int,java.lang.Object)
25.08 05:48:49  | V |     public abstract void com.android.internal.telephony.Phone.registerForCallWaiting(android.os.Handler,int,java.lang.Object)
25.08 05:48:49  | V |     public abstract void com.android.internal.telephony.Phone.registerForCdmaOtaStatusChange(android.os.Handler,int,java.lang.Object)
25.08 05:48:49  | V |     public abstract void com.android.internal.telephony.Phone.registerForDisconnect(android.os.Handler,int,java.lang.Object)
25.08 05:48:49  | V |     public abstract void com.android.internal.telephony.Phone.registerForDisplayInfo(android.os.Handler,int,java.lang.Object)
25.08 05:48:49  | V |     public abstract void com.android.internal.telephony.Phone.registerForEcmTimerReset(android.os.Handler,int,java.lang.Object)
25.08 05:48:49  | V |     public abstract void com.android.internal.telephony.Phone.registerForInCallVoicePrivacyOff(android.os.Handler,int,java.lang.Object)
25.08 05:48:49  | V |     public abstract void com.android.internal.telephony.Phone.registerForInCallVoicePrivacyOn(android.os.Handler,int,java.lang.Object)
25.08 05:48:49  | V |     public abstract void com.android.internal.telephony.Phone.registerForIncomingRing(android.os.Handler,int,java.lang.Object)
25.08 05:48:49  | V |     public abstract void com.android.internal.telephony.Phone.registerForLineControlInfo(android.os.Handler,int,java.lang.Object)
25.08 05:48:49  | V |     public abstract void com.android.internal.telephony.Phone.registerForMmiComplete(android.os.Handler,int,java.lang.Object)
